original,value,matched_term,category,score,log
Otros activos no financieros no corrientes,29455501,otros activos no corrientes,"['Balance general', None, None]",0.7969465851783752,RAG
Otros activos no financieros no corrientes,26479028,otros activos no corrientes,"['Balance general', None, None]",0.7969465851783752,RAG
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,138313,cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,"['ACTIVOS', 'NO CORRIENTES', 'CUENTAS POR COBRAR']",0.5,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 30.927835051546392}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.4460541510240607}}"
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,156599,,,1.0,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 30.927835051546392}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.4460541510240607}}"
Inversiones contabilizadas utilizando el método de la participación,331502901,inversiones contabilizadas utilizando el método de la participación,"['ACTIVOS', 'NO CORRIENTES', 'INVERSIONES']",0.5,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 37.77777777777778}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.5132399451569141}}"
Inversiones contabilizadas utilizando el método de la participación,334657003,Inversiones contabilizadas utilizando el método de la participación,"['ACTIVOS', 'NO CORRIENTES', 'INVERSIONES']",0.5,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 37.77777777777778}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.5132399451569141}}"
Activos intangibles distintos de la plusvalía,862236570,,,1.0,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 42.25352112676056}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.5413498681092843}}"
Activos intangibles distintos de la plusvalía,774003943,Activos intangibles distintos de la plusvalía,"['ACTIVOS', 'NO CORRIENTES', 'INTANGIBLES']",0.5,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 42.25352112676056}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.5413498681092843}}"
Plusvalía,2059796230,,,1.0,"{'fuzzy': {'term': 'capital', 'score': 37.5}, 'embedding': {'term': 'ganancias', 'score': 0.5482067370386184}}"
Plusvalía,1873590001,plusvalía,"['ACTIVOS', 'NO CORRIENTES', 'INTANGIBLES']",0.5,"{'fuzzy': {'term': 'capital', 'score': 37.5}, 'embedding': {'term': 'ganancias', 'score': 0.5482067370386184}}"
planta y equipo,4110735696,planta y equipo,"['ACTIVOS', 'NO CORRIENTES', 'PROPIEDADES']",1.0,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 48.78048780487805}, 'embedding': {'term': 'patrimonio total', 'score': 0.4435189607616339}}"
planta y equipo,3743122719,,[],0.5,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 48.78048780487805}, 'embedding': {'term': 'patrimonio total', 'score': 0.4435189607616339}}"
Propiedad de inversión,3392498650,Propiedad de inversión,"['ACTIVOS', 'NO CORRIENTES', 'PROPIEDADES']",0.5,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 48.88888888888889}, 'embedding': {'term': 'patrimonio total', 'score': 0.46342623055117704}}"
Propiedad de inversión,3188927576,,,1.0,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 48.88888888888889}, 'embedding': {'term': 'patrimonio total', 'score': 0.46342623055117704}}"
no corrientes,73617653,total activos no corrientes,"['Balance general', None, None]",0.7373020648956299,RAG
no corrientes,68772782,total activos no corrientes,"['Balance general', None, None]",0.7373020648956299,RAG
Activos por impuestos diferidos,369637458,Activos por impuestos diferidos,"['ACTIVOS', 'NO CORRIENTES', 'IMPUESTOS DIFERIDOS']",1.0,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 45.614035087719294}, 'embedding': {'term': 'utilidades retenidas', 'score': 0.5841319753702249}}"
